1,2,3,3,3
2,2,4,1,2
3,3,3,3,1
4,3,3,1,3
5,1,2,4,1
6,2,4,1,2
7,3,3,2,4
8,3,3,4,1
9,4,3,1,3
10,3,3,4,1
11,1,4,3,3
12,4,3,3,2
13,2,1,2,1
14,4,3,4,3
15,1,3,2,3
16,1,2,1,2
17,2,1,4,3
18,2,4,4,4
19,2,2,1,2
20,4,1,4,1
21,4,1,3,3
22,2,3,2,4
23,1,1,3,2
24,2,1,1,3
25,1,4,4,1
26,3,2,3,3
27,3,3,1,4
28,2,1,2,1
29,4,4,2,3
30,4,3,2,2
31,3,1,2,2
32,2,4,2,2
33,4,2,1,1
34,1,1,3,4
35,4,3,4,2
36,2,2,3,4
37,1,1,2,3
38,2,2,3,2
39,1,2,1,4
40,2,4,4,3
41,3,3,2,4
42,3,4,2,4
43,4,2,2,1
44,2,2,4,3
45,1,1,1,3
46,1,1,3,4
47,2,3,1,2
48,3,2,3,2
49,1,3,3,3
50,1,3,3,3
51,2,2,4,2
52,2,2,3,3
53,2,4,3,2
54,4,4,3,4
55,3,1,4,4
56,2,2,4,3
57,1,4,1,1
58,1,2,2,1
59,4,3,2,3
60,2,3,4,2
61,4,2,4,3
62,1,2,2,1
63,1,2,3,2
64,2,3,1,2
65,2,1,3,2
66,1,1,3,2
67,1,3,2,4
68,4,3,3,4
69,3,4,1,1
70,1,3,3,4
71,1,3,1,2
72,2,3,2,2
73,2,1,1,2
74,3,4,3,3
75,1,2,2,3
76,2,4,3,1
77,1,4,3,2
78,4,1,4,2
79,2,4,2,1
80,3,2,3,4
81,1,4,2,4
82,1,2,1,3
83,4,2,2,4
84,4,2,2,1
85,3,1,3,4
86,3,3,4,2
87,2,2,4,1
88,3,4,2,3
89,1,2,2,4
90,3,1,4,4
91,1,4,1,2
92,3,3,2,2
93,4,4,1,4
94,1,1,4,3
95,3,4,4,3
96,1,1,2,2
97,3,4,3,3
98,2,3,1,3
99,2,1,2,3
100,4,4,2,1
